Timestamp,Put in your MTurk ID to consent.,undocumented,female,hispanic,white,What is your date of birth? Give month and year only,abc,birthyear,What is your annual income (as you would report it in the Census)? ,income,What is the highest degree or level of school you have completed? ,educ,In which US State do you live?,region0,regionx,born_in_usa,born_usa,"if you are really paying attention, click strongly agree.",attention,Do you think the number of illegal immigrants to America nowadays should be... ,letin,"In the long run, do you think that people who are illegally immigrating to the United States today will make American society better, will make American society worse, or do you think that today's illegal immigrants won't affect American society one way or another? ",immimp,"Now I'm going to read you a series of statements and would like to get your reaction to them. After I read each statement, please tell me if you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree with the statement:                                                              “Illegal immigrants are getting too demanding in their push for equal rights.”"," “The Irish, Italians, Jews, and many other minorities overcame prejudice and worked their way up. Today's illegal immigrants should do the same without any special favors.”",“English will be threatened if other languages are frequently used in large illegal immigrant communities in the U.S.”,immrights,immfavor,immlang,immigrant_crimes,immigrant_ideas,immigrant_jobs,immigrant_growth,immigrant_united,immcrime,immideas,immjob,immgrowth,immunit,"“Recently, there have been several investigative reports regarding the condition of illegal immigrants being held in detention centers around the United States. The reports indicate that some detainees are held for long periods of time under inhumane conditions, lacking sufficient nutrition, proper sanitary facilities, access to legal counseling, or even contact with family members. The reports also discuss cases of medical negligence concerning the treatment of detainees with serious health problems. In one case, a detainee told authorities he was suffering from severe chest pain, profound shortness of breath, and dizziness, and asked for immediate medical attention. However, these situations require supervised transportation to a hospital several miles away from the detention center. In response, detention center officials denied the detainee this medical service because they considered him to be a flight risk. The officials said they had a reasonable cause to deny medical attention outside the facility. The detainee, on the other hand, said that the denial of medical attention was unwarranted and that his health was continuing to deteriorate.” Do you think the government should transport this illegal migrant to the hospital, at the risk of enabling him to escape? ",transport,With which U.S. party do you identify with?,party,media,"How much do you identify as conservative, moderate, or liberal?",polview,"“It is better to live in an orderly in which the laws are vigorously enforced than to give people too much freedom.” Do you agree strongly, agree somewhat, disagree somewhat, or disagree strongly with this statement?""",auth,"""white people""","""Latino people"" ",ethnocentrism, Question Is there anything else you would like to tell us about this survey? 
2019/08/09 6:47:18 AM GMT+8,A2B95Y9QQ49U8T,0,0,0,1,Oct-82,1982,1982,"$25,001-50,000",37500,"Associate’s degree (for example: AA, AS)",14,texas,south,1,Yes,1,Strongly agree,1,Reduced a little.,-1,Worse,-1,Agree,Agree,Neither agree nor disagree,1,1,0,Not too likely,Not too likely,Somewhat likely,Somewhat likely,Somewhat likely,-1,-1,1,1,1,Yes,1,Independent,0,3,Moderate,0,Disagree,-1,8,7,1,no nothing
2019/08/09 6:48:24 AM GMT+8,AAIQLE701DI9U,0,0,0,1,Jul-88,1988,1988,"$25,001-50,000",37500,Regular high school diploma,18,WA,west,3,Yes,1,Strongly agree,1,Reduced a little.,-1,Worse,-1,Neither disagree nor agree,Agree,Neither agree nor disagree,0,1,0,Very likely,Not too likely,Not too likely,Don't know,Somewhat likely,2,-1,-1,0,1,No,0,Independent,0,4,Moderate,0,Disagree,-1,9,6,3,Nothing else to add.
2019/08/09 6:48:51 AM GMT+8,A377LTGWJKY2IW,0,1,0,1,Aug-68,1968,1968,"125,000-150,000",112500,"Associate’s degree (for example: AA, AS)",14,Texas,south,1,No,0,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Agree,Agree,Strongly agree,1,1,2,Not too likely,Somewhat likely,Not too likely,Not too likely,Very likely,-1,1,-1,-1,2,No,0,Republican,1,5,Slightly conservative,1,Agree,1,8,5,3,
2019/08/09 6:49:39 AM GMT+8,AEF74ZYJTTEIA,0,0,0,1,Jun-78,1978,1978,"$75,001-100,000",87500,"Bachelor’s degree (for example: BA, BS)",16,Minnesota,midwest,2,Yes,1,Strongly agree,1,Increased a little.,1,Better,1,Disagree,Strongly disagree,Strongly disagree,-1,-2,-2,Not likely at all,Very likely,Not too likely,Somewhat likely,Not likely at all,-2,2,-1,1,-2,Yes,1,Democrat,-1,3,Slightly liberal,-1,Disagree strongly,-2,5,6,-1,No
2019/08/09 6:50:13 AM GMT+8,A2INXY39KBM92F,0,0,0,1,Mar-88,1988,1988,"$25,001-50,000",37500,GED or alternative credential,13,Louisiana,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Better,1,Strongly Disagree,Strongly disagree,Strongly disagree,-2,-2,-2,Not likely at all,Very likely,Not too likely,Very likely,Not likely at all,-2,2,-1,2,-2,Yes,1,Independent,0,3,Slightly liberal,-1,Disagree strongly,-2,10,10,0,No.
2019/08/09 6:50:21 AM GMT+8,A188SHJZPHE8BA,0,0,0,0,Oct-86,1986,1986,"$25,001-50,000",37500,"Associate’s degree (for example: AA, AS)",14,Nevada,west,3,No,0,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Disagree,Agree,Disagree,-1,1,-1,Not likely at all,Very likely,Not likely at all,Very likely,Not too likely,-2,2,-2,2,-1,Yes,1,Democrat,-1,2,Liberal,-2,Disagree,-1,4,7,-3,Nothing else.
2019/08/09 6:50:25 AM GMT+8,A3MM63Z6ZZ5ASC,0,0,1,1,Apr-91,1991,1991,"$25,001-50,000",37500,"Bachelor’s degree (for example: BA, BS)",16,texas,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Neither disagree nor agree,Agree,Agree,0,1,1,Somewhat likely,Not too likely,Somewhat likely,Somewhat likely,Not too likely,1,-1,1,1,-1,No,0,Democrat,-1,3,Slightly conservative,1,Agree,1,7,6,1,nice
2019/08/09 6:50:31 AM GMT+8,AOIK8K4X34LGR,0,1,0,1,Aug-55,1955,1955,"$0-25,000",12500,"Professional degree beyond a bachelor’s degree (for example MD, DDS, DVM, LLB, JD)",19,Pennsylvania,northeast,0,Yes,1,Strongly agree,1,Reduced a lot.,-2,Won’t affect American society one way or another,0,Disagree,Strongly disagree,Strongly disagree,-1,-2,-2,Not likely at all,Very likely,Not likely at all,Somewhat likely,Not too likely,-2,2,-2,1,-1,Yes,1,Democrat,-1,3,Liberal,-2,Disagree strongly,-2,10,10,0,no
2019/08/09 6:50:44 AM GMT+8,ACGZDI611LU0I,0,0,0,1,Mar-84,1984,1984,"$50,001-75,000",62500,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",18,PA,northeast,0,Yes,1,Strongly agree,1,Reduced a little.,-1,Worse,-1,Agree,Strongly agree,Agree,1,2,1,Somewhat likely,Not too likely,Not too likely,Not at all likely,Somewhat likely,1,-1,-1,-2,1,Yes,1,Democrat,-1,3,Slightly liberal,-1,Disagree,-1,8,5,3,none
2019/08/09 6:50:56 AM GMT+8,A2WWYVKGZZXBOB,0,0,0,1,Dec-81,1981,1981,"$0-25,000",12500,"Bachelor’s degree (for example: BA, BS)",16,Ohio,midwest,2,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Neither agree nor disagree,Agree,2,0,1,Don't know,Not likely at all,Somewhat likely,Not at all likely,Not likely at all,0,-2,1,-2,-2,No,0,Independent,0,4,Moderate,0,Disagree,-1,6,6,0,
2019/08/09 6:51:25 AM GMT+8,A1UBV2NP7OVDVV,0,0,0,1,Sep-78,1978,1978,"$50,001-75,000",62500,"Bachelor’s degree (for example: BA, BS)",16,Wisconsin ,midwest ,2,Yes,1,Strongly agree,1,Increased a little.,1,Better,1,Disagree,Disagree,Disagree,-1,-1,-1,Not too likely,Somewhat likely,Not likely at all,Somewhat likely,Not too likely,-1,1,-2,1,-1,Yes,1,Democrat,-1,1,Liberal,-2,Disagree,-1,6,8,-2,
2019/08/09 6:53:43 AM GMT+8,A2PPD1LPCLF7B5,0,1,0,1,1992,1992,1992,"$50,001-75,000",62500,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",18,CA,west,3,Yes,1,Strongly agree,1,Remain the same as it is.,0,Don't know,0,Neither disagree nor agree,Neither agree nor disagree,Agree,0,0,1,Don't know,Somewhat likely,Don't know,Not too likely,Not too likely,0,1,0,-1,-1,No,0,Independent,0,4,Moderate,0,Agree,1,10,10,0,None
2019/08/09 6:56:00 AM GMT+8,AQJRTW6LJR9LW,0,0,0,1,Jan-88,1988,1988,"$0-25,000",12500,"Some college credit, but less than 1 year of college credit",12,California,west,3,Yes,1,Strongly agree,1,Reduced a little.,-1,Worse,-1,Agree,Neither agree nor disagree,Neither agree nor disagree,1,0,0,Somewhat likely,Not too likely,Not too likely,Not too likely,Not too likely,1,-1,-1,-1,-1,Yes,1,Independent,0,4,Moderate,0,Disagree,-1,10,10,0,
2019/08/09 6:56:01 AM GMT+8,A2CK0OXMPOR9LE,0,0,0,1,Oct-90,1990,1990,"$0-25,000",12500,"Bachelor’s degree (for example: BA, BS)",16,Washington,west,3,Yes,1,Strongly agree,1,Increased a little.,1,Won’t affect American society one way or another,0,Disagree,Neither agree nor disagree,Disagree,-1,0,-1,Not too likely,Somewhat likely,Not too likely,Not too likely,Not likely at all,-1,1,-1,-1,-2,Yes,1,Democrat,-1,3,Slightly liberal,-1,Disagree,-1,6,6,0,mp
2019/08/09 6:56:49 AM GMT+8,A1PUHCEBSOWETV,0,0,0,1,Aug-96,1996,1996,"$75,001-100,000",87500,"Associate’s degree (for example: AA, AS)",14,California,west,3,Yes,1,Strongly agree,1,Increased a little.,1,Won’t affect American society one way or another,0,Neither disagree nor agree,Disagree,Disagree,0,-1,-1,Not likely at all,Not likely at all,Not too likely,Somewhat likely,Somewhat likely,-2,-2,-1,1,1,Yes,1,Democrat,-1,2,Liberal,-2,Agree,1,6,8,-2,No
2019/08/09 6:58:01 AM GMT+8,A2043AJAJ5TSAS,0,0,1,1,Dec-86,1986,1986,"$25,001-50,000",37500,"Associate’s degree (for example: AA, AS)",14,Florida,south,1,Yes,1,Strongly agree,1,Reduced a little.,-1,Worse,-1,Disagree,Agree,Disagree,-1,1,-1,Very likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,2,1,1,1,2,No,0,Republican,1,4,Moderate,0,Agree,1,10,10,0,
2019/08/09 7:00:36 AM GMT+8,A3P74FP62XNVYI,0,0,0,1,Jul-55,1955,1955,"$0-25,000",12500,"1 or more years of college credit, no degree",13,Indiana,midwest,2,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Very likely,Not too likely,Very likely,Not at all likely,Very likely,2,-1,2,-2,2,No,0,Republican,1,5,Slightly conservative,1,Disagree,-1,8,6,2,We must be as harsh as is necessary to end the ongoing invasion by hordes of Campesinos.
2019/08/09 7:01:46 AM GMT+8,A2CISHIOILFDHN,0,1,1,0,Aug-86,1986,1986,"$25,001-50,000",37500,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",18,Florida,south,1,Yes,1,Strongly agree,1,Increased a lot.,2,Better,1,Strongly Disagree,Neither agree nor disagree,Strongly disagree,-2,0,-2,Not likely at all,Very likely,Not likely at all,Very likely,Not likely at all,-2,2,-2,2,-2,Yes,1,Democrat,-1,2,Slightly liberal,-1,Disagree strongly,-2,3,9,-6,"you can have more than one race, like the people of Puerto Rico are white, black and native american (my 23andme report confirm this)"
2019/08/09 7:05:01 AM GMT+8,A3TUCOUVSP9ZGY,0,1,0,1,Jun-91,1991,1991,"$0-25,000",12500,"Bachelor’s degree (for example: BA, BS)",16,Oklahoma,south,1,Yes,1,Strongly agree,1,Increased a lot.,2,Better,1,Strongly Disagree,Strongly disagree,Strongly disagree,-2,-2,-2,Not likely at all,Very likely,Not likely at all,Very likely,Not likely at all,-2,2,-2,2,-2,Yes,1,Democrat,-1,1,Extremely liberal,-3,Disagree strongly,-2,2,9,-7,I grew up being the minority as a white kid in a border town.
2019/08/09 7:06:38 AM GMT+8,A37OUZOGQKGMW0,0,1,0,1,,,,"$0-25,000",12500,"Associate’s degree (for example: AA, AS)",14,Tennesssee,south,1,Yes,1,Strongly disagree,0,Reduced a lot.,-2,Won’t affect American society one way or another,0,Agree,Agree,Strongly agree,1,1,2,Very likely,Somewhat likely,Somewhat likely,Not too likely,Very likely,2,1,1,-1,2,Yes,1,Republican,1,7,Extremely conservative,3,Disagree,-1,9,9,0,no
2019/08/09 7:08:41 AM GMT+8,A364CZ890UVP15,0,0,0,1,1985,1985,1985,"100,001-125,000",112500,"Bachelor’s degree (for example: BA, BS)",16,New York,northeast,0,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Neither agree nor disagree,Strongly agree,2,0,2,Very likely,Not too likely,Very likely,Not at all likely,Very likely,2,-1,2,-2,2,Yes,1,Republican,1,7,Conservative,2,Agree strongly,2,10,7,3,
2019/08/09 7:11:19 AM GMT+8,AI1724S19KN4E,0,0,0,1,Dec-84,1984,1984,"100,001-125,000",112500,"Bachelor’s degree (for example: BA, BS)",16,west virginia,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Don't know,0,Disagree,Disagree,Disagree,-1,-1,-1,Somewhat likely,Somewhat likely,Not likely at all,Don't know,Not likely at all,1,1,-2,0,-2,Yes,1,Democrat,-1,2,Slightly liberal,-1,Agree,1,10,10,0,
2019/08/09 7:16:33 AM GMT+8,A2YKYAZYVWOXBO,0,0,0,1,Jun-77,1977,1977,"$50,001-75,000",62500,Regular high school diploma,18,tennessee,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Very likely,Not too likely,Very likely,Not at all likely,Very likely,2,-1,2,-2,2,No,0,Republican,1,7,Conservative,2,Agree strongly,2,10,1,9,no
2019/08/09 7:17:04 AM GMT+8,A23K7MLCDZPV0D,0,1,0,1,Jul-70,1970,1970,"$75,001-100,000",87500,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",18,California,west,3,No,0,Strongly agree,1,Reduced a lot.,-2,Better,1,Strongly Disagree,Neither agree nor disagree,Disagree,-2,0,-1,Not likely at all,Very likely,Not likely at all,Somewhat likely,Not likely at all,-2,2,-2,1,-2,Yes,1,Independent,0,2,Liberal,-2,Disagree strongly,-2,10,10,0,"I am not for illegal immigration, but I am strongly in favor of legal immigration."
2019/08/09 7:23:30 AM GMT+8,A1ZB2NY0F9QNP0,0,1,0,1,Mar-94,1994,1994,"$25,001-50,000",37500,"Bachelor’s degree (for example: BA, BS)",16,North Carolina,south,1,Yes,1,Strongly agree,1,Increased a little.,1,Better,1,Strongly Disagree,Disagree,Disagree,-2,-1,-1,Not likely at all,Somewhat likely,Not too likely,Somewhat likely,Not likely at all,-2,1,-1,1,-2,Yes,1,Democrat,-1,3,Slightly liberal,-1,Disagree,-1,6,6,0,
2019/08/09 7:23:44 AM GMT+8,A16HSMUJ7C7QA7,0,1,0,1,Feb-54,1954,1954,"$0-25,000",12500,"Some college credit, but less than 1 year of college credit",12,Florida,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Don't know,0,Neither disagree nor agree,Disagree,Strongly agree,0,-1,2,Very likely,Not too likely,Somewhat likely,Don't know,Somewhat likely,2,-1,1,0,1,No,0,Democrat,-1,4,Moderate,0,Agree,1,8,8,0,"We need to stop the flow of illegals until we can take care of the ones already here and help them to establish themselves with shelter, employment and basic needs."
2019/08/09 7:26:59 AM GMT+8,A1CPLS7BLMNMZ7,0,1,0,1,Aug-74,1974,1974,"$75,001-100,000",87500,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",18,Delaware,south,1,Yes,1,Strongly agree,1,Reduced a little.,-1,Don't know,0,Agree,Neither agree nor disagree,Disagree,1,0,-1,Not too likely,Somewhat likely,Not too likely,Not too likely,Somewhat likely,-1,1,-1,-1,1,Yes,1,Independent,0,5,Moderate,0,Disagree,-1,5,5,0,Interesting survey
2019/08/09 7:27:08 AM GMT+8,A297OTX4PW0XS3,0,0,0,1,Jun-93,1993,1993,"$25,001-50,000",37500,GED or alternative credential,13,Virginia,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Won’t affect American society one way or another,0,Agree,Neither agree nor disagree,Disagree,1,0,-1,Not too likely,Not too likely,Somewhat likely,Not too likely,Not likely at all,-1,-1,1,-1,-2,Yes,1,Independent,0,3,Slightly liberal,-1,Disagree strongly,-2,6,6,0,
2019/08/09 7:34:53 AM GMT+8,A3J3753DQ7IYDR,0,1,0,1,Apr-58,1958,1958,"$25,001-50,000",37500,Regular high school diploma,18,Florida,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Agree,Agree,Agree,1,1,1,Not too likely,Not too likely,Not too likely,Not at all likely,Very likely,-1,-1,-1,-2,2,Yes,1,Republican,1,4,Conservative,2,Agree,1,10,10,0,"Illegal Immigration is a serious problem that our government must work in a bi-partisan way to fix. I love the [immigrants] people themselves, but not the illegal act they are committing. I wouldn't even think of entering another country, doing something illegal, and not expecting punishment for it. Thank you for a brief, interesting, and timely study!"
2019/08/09 7:47:34 AM GMT+8,A2YGOORS5N9RW8,0,0,0,1,Jul-81,1981,1981,"$0-25,000",12500,"1 or more years of college credit, no degree",13,CA,west,3,Yes,1,Strongly agree,1,Reduced a little.,-1,Don't know,0,Neither disagree nor agree,Agree,Disagree,0,1,-1,Not too likely,Somewhat likely,Somewhat likely,Not too likely,Not too likely,-1,1,1,-1,-1,Yes,1,Independent,0,4,Moderate,0,Disagree,-1,8,8,0,
2019/08/09 7:47:36 AM GMT+8,A14OPFM8OFA4WF,0,1,0,1,Sep-75,1975,1975,"$50,001-75,000",62500,"Bachelor’s degree (for example: BA, BS)",16,Ohio,midwest,2,Yes,1,Strongly agree,1,Remain the same as it is.,0,Worse,-1,Strongly agree,Disagree,Strongly disagree,2,-1,-2,Not too likely,Not likely at all,Somewhat likely,Not at all likely,Somewhat likely,-1,-2,1,-2,1,Yes,1,Independent,0,5,Slightly conservative,1,Agree,1,7,4,3,none
2019/08/09 7:56:13 AM GMT+8,A2P8V5SKYLL5I4,0,0,1,0,May-88,1988,1988,"$75,001-100,000",87500,"Bachelor’s degree (for example: BA, BS)",16,new york,northeast,0,No,0,Strongly agree,1,Increased a little.,1,Better,1,Disagree,Agree,Disagree,-1,1,-1,Somewhat likely,Very likely,Somewhat likely,Very likely,Somewhat likely,1,2,1,2,1,Yes,1,Democrat,-1,2,Liberal,-2,Disagree,-1,9,8,1,no
2019/08/09 8:11:43 AM GMT+8,A2YOVBJ9EXAI8W,0,1,0,1,Feb-91,1991,1991,"$0-25,000",12500,Regular high school diploma,18,New York,northeast,0,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Agree,Agree,Agree,1,1,1,Somewhat likely,Not too likely,Somewhat likely,Not too likely,Very likely,1,-1,1,-1,2,No,0,Republican,1,7,Extremely conservative,3,Agree,1,10,10,0,
2019/08/09 8:22:22 AM GMT+8,A1DABMXVWWL0TR,0,1,0,1,Feb-76,1976,1976,"$25,001-50,000",37500,"Associate’s degree (for example: AA, AS)",14,South Carolina,south,1,Yes,1,Strongly disagree,0,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Agree,2,2,1,Somewhat likely,Somewhat likely,Very likely,Not too likely,Somewhat likely,1,1,2,-1,1,Yes,1,Republican,1,6,Conservative,2,Disagree,-1,8,7,1,no
2019/08/09 8:23:39 AM GMT+8,A2AGQGMZVSZVUJ,0,1,0,1,Mar-72,1972,1972,"$25,001-50,000",37500,"Bachelor’s degree (for example: BA, BS)",16,ca,west,3,Yes,1,Strongly agree,1,Reduced a lot.,-2,Don't know,0,Disagree,Agree,Disagree,-1,1,-1,Not too likely,Not too likely,Somewhat likely,Not too likely,Not likely at all,-1,-1,1,-1,-2,Yes,1,Independent,0,2,Liberal,-2,Disagree,-1,5,5,0,none
2019/08/09 8:27:15 AM GMT+8,A1O67YS3DU0ZHX,0,1,0,0,Mar-83,1983,1983,"$0-25,000",12500,GED or alternative credential,13,TX,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Disagree,Strongly disagree,Strongly disagree,-1,-2,-2,Not too likely,Very likely,Not likely at all,Not too likely,Not likely at all,-1,2,-2,-1,-2,Yes,1,Independent,0,4,Moderate,0,Disagree,-1,7,7,0,
2019/08/09 8:50:57 AM GMT+8,AH7LIF1SH3Y4L,0,0,0,1,Jun-81,1981,1981,"$0-25,000",12500,"Associate’s degree (for example: AA, AS)",14,NEW JERSEY,northeast ,0,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Agree,Agree,Agree,1,1,1,Very likely,Not likely at all,Very likely,Not at all likely,Very likely,2,-2,2,-2,2,No,0,Republican,1,6,Slightly conservative,1,Agree,1,9,9,0,NO
2019/08/09 8:52:26 AM GMT+8,A37WDOIQH6JM6V,0,1,0,1,Oct-69,1969,1969,"$0-25,000",12500,"1 or more years of college credit, no degree",13,South Carolina,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Agree,Agree,Disagree,1,1,-1,Somewhat likely,Somewhat likely,Not too likely,Not too likely,Somewhat likely,1,1,-1,-1,1,No,0,Republican,1,5,Conservative,2,Agree,1,8,8,0,
2019/08/09 8:56:29 AM GMT+8,A3AV8KOZW78IEW,0,1,0,1,Apr-77,1977,1977,"$75,001-100,000",87500,Regular high school diploma,18,wi,northeast,0,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Strongly Disagree,Strongly disagree,Strongly disagree,-2,-2,-2,Not likely at all,Somewhat likely,Not likely at all,Not too likely,Not likely at all,-2,1,-2,-1,-2,Yes,1,Democrat,-1,1,Extremely liberal,-3,Disagree strongly,-2,10,10,0,no
2019/08/09 8:57:30 AM GMT+8,A3AELT3Y5E6X7U,0,1,0,1,08 1992,1992,1992,"$0-25,000",12500,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",18,CA,west,3,No,0,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Very likely,Not likely at all,Very likely,Not at all likely,Very likely,2,-2,2,-2,2,No,0,Republican,1,7,Extremely conservative,3,Agree,1,10,1,9,Build that wall already.
2019/08/09 8:57:53 AM GMT+8,A1XH62A94I3U61,0,1,0,1,Aug-75,1975,1975,"$25,001-50,000",37500,"1 or more years of college credit, no degree",13,Washington,west,3,Yes,1,Strongly agree,1,Remain the same as it is.,0,Better,1,Strongly Disagree,Disagree,Strongly disagree,-2,-1,-2,Not likely at all,Very likely,Not too likely,Somewhat likely,Not too likely,-2,2,-1,1,-1,Yes,1,Independent,0,2,Extremely liberal,-3,Disagree,-1,3,7,-4,No comments.
2019/08/09 9:00:44 AM GMT+8,A1DX0Z20W07YOR,0,1,1,1,Mar-83,1983,1983,"$25,001-50,000",37500,Regular high school diploma,18,Virginia,south,1,Yes,1,Strongly disagree,0,Remain the same as it is.,0,Worse,-1,Disagree,Neither agree nor disagree,Disagree,-1,0,-1,Very likely,Very likely,Somewhat likely,Somewhat likely,Not too likely,2,2,1,1,-1,Yes,1,Republican,1,5,Slightly conservative,1,Agree,1,9,8,1,I'm all for immigration the legal way.
2019/08/09 9:05:14 AM GMT+8,A15SUPIZ05ZFCD,0,0,0,1,Aug-89,1989,1989,"$50,001-75,000",62500,Regular high school diploma,18,Michigan,midwest,2,Yes,1,Strongly agree,1,Don't know.,0,Better,1,Disagree,Disagree,Strongly disagree,-1,-1,-2,Not too likely,Very likely,Not likely at all,Somewhat likely,Not likely at all,-1,2,-2,1,-2,Yes,1,Democrat,-1,4,Slightly liberal,-1,Disagree strongly,-2,5,5,0,none
2019/08/09 9:07:39 AM GMT+8,A143J3H0S644SM,0,0,0,1,Jan-63,1963,1963,"$75,001-100,000",87500,"Bachelor’s degree (for example: BA, BS)",16,NY,northeast,0,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Somewhat likely,Not likely at all,Very likely,Not at all likely,Very likely,1,-2,2,-2,2,Yes,1,Independent,0,4,Slightly conservative,1,Disagree,-1,6,6,0,"Thank you for at least using the accurate and entirely appropriate term ""illegal immigration"". I'm an independent, but the extent to which a large part of the media and the current opposition party frame legitimate concerns about immigration policy as xenophobic and racist opposition to newcomers by nativist yahoos is mendacious and utterly despicable. It is tearing this country apart - perhaps permanently - for short term political gain, and I will never forgive either of them."
2019/08/09 9:16:41 AM GMT+8,A2VURQMBDXLUCC,0,1,0,1,Apr-75,1975,1975,"$25,001-50,000",37500,"Some college credit, but less than 1 year of college credit",12,Tennessee,south,1,Yes,1,Strongly agree,1,Increased a little.,1,Won’t affect American society one way or another,0,Strongly Disagree,Agree,Disagree,-2,1,-1,Not likely at all,Very likely,Not likely at all,Very likely,Not likely at all,-2,2,-2,2,-2,Yes,1,Independent,0,1,Extremely liberal,-3,Disagree strongly,-2,8,9,-1,No
2019/08/09 9:20:18 AM GMT+8,A30NWLRPW1XUSH,0,1,0,0,,,,"$50,001-75,000",62500,"Bachelor’s degree (for example: BA, BS)",16,North Carolina,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Disagree,Strongly disagree,Disagree,-1,-2,-1,Not too likely,Very likely,Not too likely,Somewhat likely,Somewhat likely,-1,2,-1,1,1,Yes,1,Independent,0,3,Slightly liberal,-1,Disagree,-1,5,6,-1,
2019/08/09 9:36:32 AM GMT+8,A1H5Q9HRH4RPZU,0,0,0,1,Aug-82,1982,1982,"$25,001-50,000",37500,"Some college credit, but less than 1 year of college credit",12,Pennsylvania,northeast,0,Yes,1,Strongly agree,1,Reduced a lot.,-2,Don't know,0,Agree,Neither agree nor disagree,Disagree,1,0,-1,Not too likely,Not likely at all,Not too likely,Not at all likely,Very likely,-1,-2,-1,-2,2,Yes,1,Independent,0,5,Moderate,0,Disagree,-1,6,5,1,I've heard illegal immigrants tend to vote Democrat
2019/08/09 9:50:54 AM GMT+8,A35KAB94CTUJL,0,0,0,1,61997,1997,1997,"$25,001-50,000",37500,"1 or more years of college credit, no degree",13,pennsylvania,northeast,0,Yes,1,Strongly agree,1,Reduced a little.,-1,Won’t affect American society one way or another,0,Disagree,Neither agree nor disagree,Strongly disagree,-1,0,-2,Somewhat likely,Somewhat likely,Not too likely,Somewhat likely,Not too likely,1,1,-1,1,-1,Yes,1,Democrat,-1,2,Liberal,-2,Disagree,-1,10,10,0,i hope my data is helpful! :)
2019/08/09 10:39:44 AM GMT+8,A3O0EYFA3CCZ9,0,1,0,1,Mar-61,1961,1961,"$25,001-50,000",37500,Regular high school diploma,18,Missouri,south,1,Yes,1,Strongly agree,1,Reduced a lot.,-2,Worse,-1,Strongly agree,Strongly agree,Strongly agree,2,2,2,Very likely,Somewhat likely,Very likely,Not at all likely,Not likely at all,2,1,2,-2,-2,Yes,1,Republican,1,7,Extremely conservative,3,Agree,1,10,8,2,no
2019/08/09 12:25:07 PM GMT+8,A1NLJ1L4VCQYV2,0,0,0,0,May-82,1982,1982,"$25,001-50,000",37500,GED or alternative credential,13,Texas,south,1,Yes,1,Strongly agree,1,Remain the same as it is.,0,Won’t affect American society one way or another,0,Disagree,Neither agree nor disagree,Disagree,-1,0,-1,Don't know,Not too likely,Not likely at all,Don't know,Don't know,0,-1,-2,0,0,Yes,1,Independent,0,4,Slightly liberal,-1,Disagree,-1,2,7,-5,I think it's pretty much an open secret that ICE detention facilities treats it's inhabitants as badly as possible in attempt to dissuade them from ever wanting to come back to the US. It's inhuman and must end.
